Latin name, Botanical family and Growth habit	Vernacular name(s)	Part(s) used, Use(s) and Reference(s)
		Roots: Used in heart medicine [Dene: 13; Chipewyan: 92]. Boiled and put on sore or swollen knee [Dene: 17]. Infusion used for blood coughing [Cree: 95]. Boiled with juniper berries and used as a laxative [Dene: 99]. Boiled and used as a rinse for sore lips and mouth [Dene: 98].
		Bark: Softened in hot water with the bark of pin cherry to make a plaster or bandage for broken bones [Algonquin: 69]. 
		Inner bark: Infusion used as a laxative [Cree: 95].
		Berries: Eaten raw or boiled for heartburns and diabetes. Mixed with water and drunk as a medicinal tea [Dene: 17]. Eaten raw or drunk as a tea for cold or sore throat [Dene: 99]. 
		Stem and roots: Tea used in stomach ache and diarrhoea [Dene: 99]. Decoction used in fever [Dene: 98].  
*Silene latifolia Poir. ssp. alba (Mill.) Greuter & Burdet	white campion (Eng.); lychnis blanc (Fr.); basi'bûgûk (Ojibwa)	Roots: Tea used as a physic [Ojibwa: 87].
Syn.: Lychnis alba Mill.		
Caryophyllaceae, Herb		
Silphium perfoliatum L.	cup-plant (Eng.); silphe perfolié (Fr.); akûn'damo, asasa'weskûk (Ojibwa)	Used for stomach trouble, and hemorrhage [Ojibwa: 87].
Asteraceae, Herb		Roots: Decoction taken in lung troubles and in amenorrhoea. Dried, pounded and used as a moist compress to stop bleeding from wounds [Chippewa: 47]. Tea used in rheumatic pains [Ojibwa: 87].
Sium suave Walter	water parsnip (Eng.); berle douce (Fr.); sīwaskātask, sīwaskacāskwos, ōskātask, kowchuskowitoy (Cree)	Smoked to relieve headache [Dene: 98]. 
Apiaceae, Herb		Roots: Used as a tonic. Eaten raw or boiled with other plants and the decoction drunk to treat chest congestion. Part of a compound decoction used to treat heart trouble, headache, and fever [Cree: 13]. Eaten raw or prepared as a tea for sore throat, cough and cold. Tea also used to treat fever, heart problems and headache. Eaten raw as a tonic and blood cleanser [Cree: 96]. Cancer medicine [Cree: 93].
Smilax herbacea L.	carrion flower (Eng.); smilax herbacé, raisin de couleuvre (Fr.); ma'kodji'bĭk, bîgomînaga'wûnj (Ojibwa)	Roots: Decoction used as a physic and in kidney troubles [Ojibwa: 47]. Used in lung troubles [Ojibwa: 87]. 
Smilacaceae, Vine		
*Solanum dulcamara L.	bittersweet (Eng.); morelle douce-amère (Fr.); wizagapo'kl (Malecite)	Tea used to treat nausea [Mi'kmaq: 61; Malecite: 65].
Solanaceae, Herb		
*Solanum nigrum L.	nightshade (Eng.); morelle noire (Fr.)	Medicinal [Ojibwa: 86]. 
Solanaceae, Herb		
Solidago altissima L.	goldenrod (Eng.); verge d'or très élevée (Fr.); a'djidamo'wano (Ojibwa)	Roots: Powdered, moistened and applied as a poultice in boils [Ojibwa: 47]. 
Asteraceae, Herb		Flowers: Dried, moistened with cold water and applied to ulcers. Mixed with flowers of Agastache anethiodora and Rudbeckia laciniata to make a poultice applied to burns [Ojibwa: 47]. 
Solidago canadensis L.	goldenrod (Eng.); verge d'or du Canada (Fr.); chachamos kakew (Cree)	Tea used for heart disease [Algonquin: 69] and fever [Algonquin: 68]. 
Asteraceae, Herb		Leaves and stems: Boiled and the decoction drunk to treat kidney and bladder problems, or constipation or cold [Dene: 13]. 
		Roots: Decoction taken to treat stomach cramps [Ojibwa: 47].
Solidago flexicaulis L.	goldenrod (Eng.); verge d'or à tige zigzaguante (Fr.); a'djidamo'wano (Ojibwa)	Used in "women diseases" [Ojibwa: 47].
Asteraceae, Herb		Roots: Dried and chewed to treat sore throat [Ojibwa: 47].
Solidago juncea Aiton	early goldenrod (Eng.); verge d'or jonciforme (Fr.); a'djidamo'wano (Ojibwa)	Roots: Decoction taken internally in convulsions and in "women complaints" [Ojibwa: 47].
Asteraceae, Herb		
Solidago multiradiata Aiton	multi-rayed goldenrod, mountain goldenrod (Eng.); verge d'or à rayons nombreux (Fr.)	Used as a tonic [Cree: 42].
Syn.: S. virgaurea var. multiradiata (Aiton) Torrey & A. Gray		
Asteraceae, Herb		
Solidago speciosa Nutt. var. rigidiuscula Torr. & A. Gray	showy goldenrod (Eng.); verge d'or voyante (Fr.); o'zawa'bigwûn (Ojibwa)	Astringent and styptic [Ojibwa: 47]. 
Syn.: S. rigidiuscula (Torr. & A. Gray) Porter		Roots: Mixed with roots of Pulsatilla hirsutissima in a decoction taken in lung trouble. Decoction taken to treat lung hemmorhage. Combined with bear fat and used as a hair ointment. Decoction used for mouth haemorrhage, as a tonic, and to treat cuts and wounds. Infusion taken to ease labor during childbirth. Boiled and used as a warm compress to treat sprain of strained muscles [Ojibwa: 47]. 
Asteraceae, Herb		Roots and stem: Decoction taken as a tonic and stimulant [Ojibwa: 47]. 
		Leaves: Dried and used to make a decoction given in fever [Ojibwa: 47]. 
		Stem: Combined with bear fat and used as a hair ointment. Boiled and used as a warm compress to treat sprain of strained muscles [Ojibwa: 47].
Sorbus americana Marsh.	American mountain ash, round wood, bear berries (Eng.); sorbier d'Amérique, cormier (Fr.); maskōminānātik, esniywachiywa(h)tik (Cree); mina'kwimus, wik's (Malecite); ah-o-je-mahg (Chippewa); makoomiinaan (Ojibway); maskominanatuk (Atikamekw); mashkumenan, mashkuminânakashî (Innu)	Emetic [Algonquians: 63]. Mixed with Populus tremuloides in a tea used to treat constipation [Innu: 72]. Mixed with Picea mariana, Picea glauca, Gaultheria procumbens, Sambucus nigra, and wine in a tea used to fortify blood [Algonquin: 68].
Syn.: Pyrus americana (Marsh.) DC.		Leaves: Dried and chewed for throat pain [Montagnais: 71]. 
Rosaceae, Tree		Bark: Steeped in hot water and given to babies to drink for general disorders and especially for cholera. Decoction drunk to treat general pains in the body and considered good for the bones [Cree: 13], also drunk to stimulate appetite and to purify the blood [Algonquians: 63]. Burned and applied to boil as a poultice. Steeped and given to mothers after childbirth, also used as a tonic [Malecite: 65]. Boiled and used to make a plaster applied to the lower back of pregnant women to facilitate childbirth [Atikamekw: 73]. Boiled and used as a paste to be applied locally on painful body parts, on arthritis or rheumatism. Ground, boiled and the decoction taken for cough. Tea used for heart problems or tootache [Montagnais: 71]. Tea used to treat arthritis and muscular pain [Cree: 96].
		Roots and bark: Medicinal [Ojibwa: 86]. 
		Inner bark: Placed in a hot wet towel and applied to swells as a compress [Montagnais: 71].
		Inner bark and buds: Tea used to cure weariness and depression [Atikamekw: 73], given for cold, or combined with Acorus calamus and used as a tonic [Algonquin: 69]. 
		Roots: Infusion drunk for colic [Algonquians: 63]. Extracts used to stimulate appetite [Algonquin: 68]. Tea drunk to treat sore throat, cold and cough [Cree: 96].
		Stem: Medicinal [Ojibway: 89]. Chewed and also boiled to make a decoction drunk to treat cold, cough, rheumatism, hemorrhaging, headache, heart trouble, sore chest, kidney pain, or to facilitate labor during childbirth [Dene: 13; Innu: 72]. Boiled and the steam inhaled for headache and sore chest [Dene: 13]. 
Sorbus decora (Sarg.) C.K. Schneid.	northern mountain ash (Eng.); sorbier plaisant (Fr.); maskōminānātik (Cree)	Branches: Decoction drunk for the treatment of back pain [Cree: 95]. Used to treat diabetes [Cree: 82].
Rosaceae, Tree		Inner bark and branches: Used in diabetes [Cree: 77]. 
		Leaves: Used to treat diabetes [Cree: 82].
		Bark: Used to treat diabetes [Cree: 82].
		Inner bark and cambium: Used to treat diabetes [Cree: 82].
Sorbus scopulina Greene	Greene's mountain-ash (Eng.); sorbier de Greene (Fr.); naidídechëné (Chipewyan)	Used as a compress for pain or rubbed on chest, back and throat for cough and sore throat [Cree: 81]. Tea taken to relieve cold symptoms, headaches, sore chest, or for "blood in the body". Tea also drunk by women giving birth to make labor easier [Chipewyan: 92]. 
Rosaceae, Shrub		Roots: Boiled and used to treat tuberculosis or bathe in to relieve soreness [Dene: 17]. Decoction taken as a cough medicine [Dene: 98]. Herbal tea taken for back paralysis, diabetes and cancer [Cree: 93].
		Stem: Decoction taken as a cough medicine [Dene: 98]. Boiled and steam inhaled to relieve headache or sore chest [Chipewyan: 92].
		Twigs: Herbal tea taken for general ache and heart problems [Cree: 93].
		Fruits: Decoction taken as a cough medicine [Dene: 98].
		Stem and roots: Boiled and taken to treat tuberculosis [Dene: 98]. 
Sorbus sitchensis M. Roem.	Sitka mountain-ash, western mountain-ash (Eng.); sorbier de Sitka (Fr.)	Roots: Boiled and used to treat tuberculosis or bathe in to relieve soreness [Dene: 17].
Rosaceae, Shrub		
Sphagnum capillifolium (Ehrh.) Hedw.	Moss (Eng.); askīya (Cree)	Used to treat diaper rash, and to wash baby at birth [Cree: 95]. Used to treat diaper rash, toothache, urinary tract problems. Ssteam generated by putting moss in the heated stones used to treat body pain, muscle pain, to bring out fever [Cree: 80, 81]. 
Sphagnaceae, Moss		
Sphagnum fuscum (Schimp.) Klinggr.	peat moss (Eng.); sphaigne brune (Fr.); uske, muskak, askīyāh, mīkaskwahkawow, āsāskumkwa, eskiya, awasistche(Cree)	Whole plant: Applied to cuts or skin infections before bandaging affected areas [Cree: 13]. Used to treat diaper rash, and as a baby wash at birth [Cree: 95]. Antiseptic [Dene: 17]. Used to treat diabetes [Cree: 82].
Sphagnaceae, Moss		
Spiraea alba Du Roi 	white meadow-sweet (Eng.); spirée blanche (Fr.)	Leaves and stem: Used to make a medicinal tea [Algonquin: 69].
Rosaceae, Shrub		
Spiraea tomentosa L.	hardhack, steeple-bush (Eng.); spirée tomenteuse, thé du Canada (Fr.); memîsgwû'nagûg (Ojibwa)	Leaves and stem: Used to make a medicinal tea [Algonquin: 69]. 
Rosaceae, Shrub		Leaves and flowers: Tea given for pregnancy sickness and to ease labor during childbirth [Ojibwa: 87].
Sporobolus heterolepis (A. Gray) A. Gray	prairie dropseed (Eng.); sporobole à glumes inégales (Fr.); napŏ'gûshkūns' (Ojibwa)	Roots: Crushed by pounding or chewing and applied as a poultice to sores. Boiled and the decoction taken to induce emesis, "to remove bile" [Ojibwa: 84].
Poaceae, Herb		
*Stachys palustris L.	woundwort (Eng.); épiaire des marais (Fr.); ande'gobûg (Ojibwa)	Leaves: Fresh or dried and used to make an infusion taken to treat colic [Ojibwa: 47].
Lamiaceae, Herb		
*Stellaria media (L.) Vill.	common chickweed (Eng.); stellaire moyenne, mouron des oiseaux (Fr.); wi'nibĭdja'bibaga'no (Ojibwa)	Leaves: Infusion used as a wash for sore eyes [Ojibwa: 47].
Caryophyllaceae, Herb		
Stereocaulon paschale (L.) Hoffm.	snow lichen (Eng.)	Used to treat diabetes [Cree: 82]. 
Stereocaulaceae, Lichen		
Streptopus amplexifolius L. (DC.)	solomon's seal, eel berry (Eng.); streptope amplexicaule (Fr.)	Fruits: Used for gonorrhea, kidney troubles and for blood spitting [Algonquians: 63].
Liliaceae, Herb		Fruits and stem: Steeped and taken in general sickness [Algonquians: 63]. 
Streptopus lanceolatus (Aiton) Reveal var. roseus (Michx.) Reveal	twisted-stalk (Eng.); streptope rose, rognons de coq (Fr.); agwĭn'gûsibûg', nanibîte'ode'kîn (Ojibwa) 	Used for physic or to make a tea for cough [Ojibwa: 87]. 
Syn.: S. roseus Michx. 		Flowers: Steeped to make a medicine to produce a sweat [Algonquians: 63]. 
Liliaceae, Herb		Roots: Steeped and used as a poultice to treat sty [Ojibwa: 47]. 
Symphoricarpos albus (L.) S.F. Blake var. albus	snowberry, wax berry, wolfberry (Eng.); symphorine blanche, graine d'hiver, graine de loup (Fr.); mahekun menes, mahekunimin, māyikaniminanahtik, mahikanimin (Cree); maĭn'gamûna'tĭg, anîgomiji'mînaga'wûnj (Ojibwa)	Fruits: Crushed or boiled to make a wash for sore eyes [Dene: 13].
Syn.: S. racemosus Michx.		Roots and stem: Decoction used to a treat teething pain and venereal disease [Cree: 95; Dene: 13]. Used as an eye wash and drunk to treat skin rashes or mixed with another plant to make a remedy for venereal deseases [Dene: 13]. 
Caprifoliaceae, Shrub		Branches and leaves: Decoction used as a diuretic [Cree: 13].
		Stem: Decoction given for kidney problems [Cree: 13]. 
		Fruits: Infusion used to treat sore eyes [Cree: 95].
		Whole plant: Infusion applied externally to treat a skin rash [Cree: 95]. 
		Roots: Decoction used as a diuretic. Infusion given after childbirth [Ojibwa: 47]. Decoction taken as a physic, or mixed with Andropogon gerardii and used to treat stoppage of urine [Ojibwa: 47]. Tea used to clear up the afterbirth, and enable quicker convalescence after childbirth [Ojibwa: 87]. 
Symphoricarpos occidentalis Hook.	western snowberry (Eng.); symphorine de l'Ouest (Fr.)	Leafy stems and berries: Tea taken in kidney problems [Cree: 96].
Caprifoliaceae, Shrub		
*Symphoricarpos orbiculatus Moench	Indian currant (Eng.); symphorine à feuilles rondes (Fr.); gus'sigwaka'mĭsh (Ojibwa)	Roots: Cooled decoction made with inner bark of roots applied to sore eyes [Ojibwa: 84].
Caprifoliaceae, Shrub		
Symphyotrichum ciliolatum (Lindl.) A. Löve & D. Löve	lindley's aster (Eng.); aster ciliolé (Fr.); mistaskewusk, amowusk (Cree)	Roots: Tea used to treat pink eye (conjunctivitis). Ground and applied topically to stop bleeding from cuts [Metis: 13]. 
Syn.: Aster ciliolatus Lindl.		
Asteraceae, Herb		
Symphyotrichum laeve (L.) A. Löve & D. Löve	smooth aster (Eng.); aster lisse (Fr.); mistahisakwiwask (Cree)	Roots: Chewed to treat toothache and teething pain. Tea used in fevers and to aid recover after childbirth [Cree: 13].
Syn.: Aster laevis L.		
Asteraceae, Herb		
Symphyotrichum puniceum (L.) A. Löve & D. Löve	purple-stemmed aster (Eng.); aster ponceau (Fr.); mistasakewusk, mistahīsakwīwask, mstahiysāgiywusk, pāwistiko(h)maskīhkīh, bigonbimaskgigiah, pikōnbīmaskīgīah, pikwanpīmāskīgah (Cree); denek'áze'eya(ha)naidíé (Chipewyan)	Mixed with another plant in a decoction drunk to treat short breath [Cree: 13]. 
Syn.: Aster puniceus L.		Above-ground parts: Dried, boiled and decoction drunk repeatedly to treat kidney problems, chills, and cold sweats [Cree: 13]. Used for headaches [Chipewyan: 92].
Asteraceae, Herb		Flower: Dried, decoction used to treat headache [Dene: 13]. 
		Roots: Dried, mixed with tobacco and smoked, or powdered and inhaled to treat headache. Used as a heart medicine, a diuretic and emetic tea, and as a medicine for sore kidneys. Mixed with other plants and smoked to treat "insanity". Burned on hot rocks in a sweat lodge to ease breathing [Dene: 13]. Dried and used combined with other plants in a decoction used to relax and aid sleep [Metis: 13], and in a different combination to facilitate childbirth [Cree: 13]. Decoction used in fever, after childbirth, teething sickness, and amenorrhoea. Chewed for toothache. Used in facial paralysis [Cree: 95]. Dried, mixed with tobacco and smoked, or powdered and inhaled to treat headache. Used as a heart medicine [Chipewyan: 92]. Herbal water taken for kidney problems [Cree: 93].
Symplocarpus foetidus (L.) Nutt.	skunk cabbage (Eng.); symplocarpe fétide, tabac du diable, chou puant (Fr.); sikag-buk (Chippewa)	Strong medicine [Algonquin: 69]. Smelled to treat headache [Mi'kmaq: 43]. Used with Juniper gum in tubercolosis [Mi'kmaq: 43]. 
Araceae, Herb		Roots: Steeped to make a cough medicine [Chippewa: 85], also used for swellings [Abenaki: 67].
*Tanacetum vulgare L.	common tansy (Eng.); tanaisie vulgaire (Fr.); o'ckinigi'kweäni'bĭc , muckiki'wît (Ojibwa)	Antifertility agent [Mi'kmaq: 61] and fever medicine [Ojibwa: 87].
Asteraceae, Herb		Leaves: Dried and made into a tea given in kidney troubles. Steeped and given to prevent pregnancy [Malecite: 65]. Steeped in water with equal amount of leaves of Nepeta cataria and given in fever. Decoction taken in amenorrhoea [Ojibwa: 47].
		Roots: Decoction put into ear for soreness, or used to gargle (or chewed) to treat sore throat [Ojibwa: 47].
*Taraxacum officinale F.H. Wigg.	dandelion (Eng.); pissenlit (Fr.); meoskamewuskos (Cree); dado'cabodji'bĭk, wesa'usakwûnek (Ojibwa)	Juice used in cold, cough and skin diseases [55]. Plaster or poultice used for blood purification [Algonquin: 69].
Asteraceae, Herb		Leaves, stem and roots: Hepatic, tonic, diuretic and slightly cholagogue [Cree: 74]. 
		Leaves and roots: Taken to promote the flow of bile in liver disease, the milky latex used as a mosquito repellent [Metis: 13]. 
		Leaves: Decoction drunk to purify blood, to treat anemia, jaundice and against nervousness [Metis: 13].
		Roots: Used as a blood medicine [Ojibwa: 86]. Steeped in water with roots of Cirsium sp. and taken in confinement [Ojibwa: 47]. Tea given in heart burn [Ojibwa: 87]. Decoction drunk as a diuretic to clean blood stream [Cree: 13]. Boiled and taken in diabetes [Dene: 17].
Taxus canadensis Marsh.	Canada yew, ground hemlock (Eng.); if du Canada, buis de sapin (Fr.); ne'bagandag' (Ojibwa); adskewacit (Atikamekw); al'nézité, sagaskôdagw (Abénaki); karkatiwahuk (Innu); tshîtshue ashtshîuâshîshku (Montagnais)	Medicinal [Innu: 72]. Used with Lycopodium clavatum as a brew for weakness and fever [Algonquians: 63]. Boiled and added to whiskey for bowels and internal troubles. Boiled and given with fresh milk to the mother after childbirth [Mi'kmaq: 43]. Used in toothache [Ojibwa: 89] or by women experiencing complications after childbirth [Algonquin: 69].
